1.00011 0.247488 0.0347022 1.81722 
1.00006 0.249234 0.0503325 1.8188 
1.00096 0.246519 0.048104 1.82015 
0.999206 0.252313 0.044454 1.81709 
0.999477 0.248088 0.0446206 1.81662 
1.00058 0.246813 0.0430257 1.81886 
1.00517 0.236199 0.0385392 1.82749 
1.00045 0.246043 0.0400745 1.81811 
1.0065 0.235332 0.0278191 1.83038 
1.00383 0.238947 0.0368181 1.82467 
1.00568 0.241824 0.0251549 1.82985 
1.00383 0.23958 0.0334471 1.82469 
1.00243 0.243767 0.0336397 1.82211 
1.00739 0.236599 0.0224965 1.83295 
1.01064 0.225755 0.0231855 1.83894 
1.00591 0.235209 0.0335009 1.82893 
1.00827 0.231027 0.0291552 1.83391 
1.00865 0.229902 0.0262361 1.83463 
1.00902 0.231407 0.0233059 1.83589 
1.01054 0.226737 0.0206352 1.83893 
1.00814 0.229014 0.0316446 1.83323 
1.01031 0.224029 0.0290774 1.83776 
1.00835 0.229758 0.0347095 1.83398 
1.00636 0.233892 0.0306166 1.82974 
1.00597 0.234031 0.036156 1.82893 
1.00835 0.229843 0.0416483 1.83427 
1.00335 0.240897 0.040596 1.8241 
1.00754 0.231789 0.041046 1.83258 
1.0051 0.235978 0.0461432 1.82774 
1.0025 0.243071 0.0350478 1.82219 
1.00467 0.237759 0.0345076 1.82641 
1.00283 0.241102 0.0370816 1.82266 
1.02233 0.147248 0.0508082 1.86535 
1.02604 0.145739 0.117113 1.88244 
1.02368 0.159508 0.0801538 1.87119 
1.00368 0.240403 0.052346 1.82572 
1.00331 0.247233 0.0281759 1.82529 
1.0078 0.244704 -0.00183182 1.8391 
1.00332 0.250169 0.0166061 1.82828 
1.00139 0.249957 0.0189481 1.82411 
1.00252 0.250142 0.0228027 1.82567 
0.999849 0.247788 0.0278217 1.81909 
0.997814 0.242918 0.023187 1.81509 
0.999576 0.24467 0.0123838 1.82143 
1.00208 0.246155 0.0317005 1.82181 
1.00174 0.248115 0.0309732 1.82161 
1.0047 0.243012 0.0275273 1.8276 
1.00566 0.243355 0.0227176 1.83031 
1.00598 0.23798 0.0281523 1.82963 
1.01777 0.180342 0.00475856 1.85183 
1.01672 0.183928 0.00570126 1.84966 
1.01851 0.181288 -0.00139952 1.85396 
1.01749 0.18481 0.00245289 1.85169 
1.01705 0.187881 0.000793853 1.85101 
1.01973 0.170314 0.00213406 1.85606 
1.01867 0.172375 0.0100186 1.85335 
1.01877 0.169231 0.010727 1.85392 
1.01885 0.167478 0.0115892 1.85448 
1.01814 0.169076 0.0120873 1.85267 
1.01817 0.170827 0.0113848 1.85221 
1.01893 0.173476 0.00535923 1.85413 
1.01801 0.177117 0.00702174 1.85204 
1.01794 0.178272 0.00795063 1.85197 
1.01754 0.181347 0.00589269 1.85136 
1.01704 0.180383 0.00975095 1.85 
1.01679 0.184395 0.00689424 1.84993 
1.01835 0.176091 0.00413133 1.85289 
1.01686 0.185572 0.00422918 1.8502 
1.01616 0.187262 0.00687436 1.84878 
1.01887 0.185888 -0.00334708 1.85546 
1.01659 0.188593 0.00406747 1.84997 
1.01698 0.196085 -0.000431857 1.85197 
1.01683 0.193914 -0.00298775 1.85138 
1.01586 0.200304 4.20232e-05 1.84969 
1.01659 0.200473 -0.00724019 1.85187 
1.01581 0.211965 -0.00466926 1.85146 
1.01869 0.195267 -0.0212407 1.85747 
1.01517 0.212414 -0.00889477 1.8503 
1.01874 0.201368 -0.0437908 1.86142 
1.02153 0.185559 -0.0574802 1.86788 
1.02179 0.181981 -0.0512521 1.8673 
1.02475 0.170888 -0.0497095 1.8735 
1.02273 0.180119 -0.0378288 1.86759 
1.0199 0.19405 -0.0456042 1.86332 
1.01981 0.189023 -0.0302672 1.86045 
1.02155 0.183674 -0.0422517 1.86559 
1.02189 0.181713 -0.0324408 1.86499 
1.02274 0.173436 -0.0400176 1.8672 
1.02427 0.174292 -0.0460025 1.87195 
1.02672 0.156538 -0.0473436 1.87732 
1.02188 0.177834 -0.0274229 1.86401 
1.02229 0.168824 -0.0175756 1.86348 
1.02196 0.162311 -0.0137562 1.8621 
1.01943 0.174453 -0.00247399 1.85566 
1.01598 0.206173 -0.0126568 1.85158 
1.01984 0.181878 -0.0167438 1.85831 
1.0167 0.194798 -0.00612526 1.85129 
1.01294 0.224893 -0.0289334 1.84996 
1.02032 0.190239 -0.0411929 1.86321 
1.01655 0.214834 -0.0262889 1.8561 
